,user_id,isbn,book_rating,location,user_age,title,author,year,publisher,img_url,num_of_rating,fav_author,fav_publisher,avg_book_rate,weighted_score
0,277427,002542730X,10,"gilbert, arizona, usa",48.0,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994.0,John Wiley &amp; Sons Inc,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,15,James Finn Garner,Anchor,7.866666666666666,7.992896174863388
1,277427,0061009059,9,"gilbert, arizona, usa",48.0,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995.0,HarperTorch,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,26,James Finn Garner,Anchor,8.115384615384615,8.123104946055767
2,277427,0316776963,8,"gilbert, arizona, usa",48.0,Me Talk Pretty One Day,David Sedaris,2001.0,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,42,James Finn Garner,Anchor,8.03225806451613,8.05738057465186
3,277427,0345413903,10,"gilbert, arizona, usa",48.0,The Murder Book,Jonathan Kellerman,2003.0,Ballantine Books,http://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg,16,James Finn Garner,Anchor,8.0,8.062106651592236
4,277427,0385424736,9,"gilbert, arizona, usa",48.0,The Rainmaker,John Grisham,1995.0,Doubleday Books,http://images.amazon.com/images/P/0385424736.01.MZZZZZZZ.jpg,36,James Finn Garner,Anchor,8.0,8.03675699788112
5,277427,0385486804,9,"gilbert, arizona, usa",48.0,Into the Wild,Jon Krakauer,1997.0,Anchor,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,15,James Finn Garner,Anchor,7.933333333333334,8.028610460577674
6,277427,0385504209,8,"gilbert, arizona, usa",48.0,The Da Vinci Code,Dan Brown,2003.0,Doubleday,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,81,James Finn Garner,Anchor,8.666666666666666,8.593628647831647
7,277427,0399501487,9,"gilbert, arizona, usa",48.0,Lord of the Flies,William Gerald Golding,1959.0,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,36,James Finn Garner,Anchor,8.13888888888889,8.138797814207651
8,277427,0440224764,7,"gilbert, arizona, usa",48.0,The Partner,John Grisham,1998.0,Dell Publishing Company,http://images.amazon.com/images/P/0440224764.01.MZZZZZZZ.jpg,42,James Finn Garner,Anchor,8.0,8.032747143566816
9,277427,0452284449,6,"gilbert, arizona, usa",48.0,The Virgin Blue,Tracy Chevalier,2003.0,Plume Books,http://images.amazon.com/images/P/0452284449.01.MZZZZZZZ.jpg,14,James Finn Garner,Anchor,7.785714285714286,7.955596033191662
10,277427,0553280368,9,"gilbert, arizona, usa",48.0,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987.0,Bantam,http://images.amazon.com/images/P/0553280368.01.MZZZZZZZ.jpg,25,James Finn Garner,Anchor,8.32,8.25792349726776
11,277427,0679731148,9,"gilbert, arizona, usa",48.0,A Year in Provence,Peter Mayle,1991.0,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,11,James Finn Garner,Anchor,8.0,8.07504553734062
12,277427,0743412028,9,"gilbert, arizona, usa",48.0,Pay It Forward,Catherine Ryan Hyde,2000.0,Pocket,http://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg,11,James Finn Garner,Anchor,7.636363636363637,7.908378870673952
13,277427,0811802981,10,"gilbert, arizona, usa",48.0,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes,Nick Bantock,1993.0,Chronicle Books,http://images.amazon.com/images/P/0811802981.01.MZZZZZZZ.jpg,11,James Finn Garner,Anchor,9.090909090909092,8.57504553734062
14,254,0064471047,7,"minneapolis, minnesota, usa",24.0,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994.0,HarperCollins,http://images.amazon.com/images/P/0064471047.01.MZZZZZZZ.jpg,15,Neil Gaiman,Scholastic,8.6,8.38575331772053
15,254,0142001740,9,"minneapolis, minnesota, usa",24.0,The Secret Life of Bees,Sue Monk Kidd,2003.0,Penguin Books,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,57,Neil Gaiman,Scholastic,8.912280701754385,8.768587041373927
16,254,0380789035,10,"minneapolis, minnesota, usa",24.0,American Gods,Neil Gaiman,2002.0,HarperTorch,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,26,Neil Gaiman,Scholastic,8.423076923076923,8.328233151183971
17,254,0399146431,9,"minneapolis, minnesota, usa",24.0,The Bonesetter's Daughter,Amy Tan,2001.0,Putnam Publishing Group,http://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg,29,Neil Gaiman,Scholastic,8.846153846153847,8.627132248443724
18,254,0439064864,9,"minneapolis, minnesota, usa",24.0,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999.0,Scholastic,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg,85,Neil Gaiman,Scholastic,8.808510638297872,8.719637726035653
19,254,0439136350,9,"minneapolis, minnesota, usa",24.0,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999.0,Scholastic,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,70,Neil Gaiman,Scholastic,9.333333333333334,9.146197906379617
20,254,0439139597,9,"minneapolis, minnesota, usa",24.0,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000.0,Scholastic,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,72,Neil Gaiman,Scholastic,9.512195121951219,9.302107549137208
21,254,0451167317,8,"minneapolis, minnesota, usa",24.0,The Dark Half,Stephen King,1994.0,Signet Book,http://images.amazon.com/images/P/0451167317.01.MZZZZZZZ.jpg,23,Neil Gaiman,Scholastic,7.913043478260869,7.994474802671524
22,254,0451524934,9,"minneapolis, minnesota, usa",24.0,1984,George Orwell,1990.0,Signet Book,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,29,Neil Gaiman,Scholastic,8.827586206896552,8.614311735623211
23,254,0451526341,8,"minneapolis, minnesota, usa",24.0,Animal Farm,George Orwell,2004.0,Signet,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg,24,Neil Gaiman,Scholastic,8.25,8.210840348545267
24,254,0590353403,9,"minneapolis, minnesota, usa",24.0,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998.0,Scholastic,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,37,Neil Gaiman,Scholastic,8.91891891891892,8.716021857923497
